author,year,num,denom
Davidson 1969,1969,69,139
McEuen 1978,1978,13,37
Rubin 1980,1980,2,13
Prakash 1987,1987,3,34
Asamato 1995,1995,10,68
Goldstein 1998,1998,12,24
Kim 1999,1999,4,10
Briens 2002,2002,16,41
Inoue 2008,2008,52,199
Fang 2009,2009,2,11
Xu 2009,2009,20,241
Byun 2010,2010,0,38
Bonella 2011,2011,36,70
Fang 2012,2012,9,25
Campo 2013,2013,26,73
Fijolek 2014,2014,4,17
Ilkovich 2014,2014,40,68
Yang 2014,2014,2,10
Akasaka 2015,2015,8,31
Xiao 2015,2015,17,45
Mo 2016,2016,2,11
Hadda 2016,2016,5,35
Deleanu 2016,2016,4,20
Bai 2016,2016,50,101
Huang 2016,2016,5,17
Guo 2017,2017,18,37
Hwang 2017,2017,34,71
